Clean_Text,Emotion
worried internship opportunity,Fear
wiritng letter,Neutral
feeling vey heavy,Sad
invention got patent approval,Joy
project partner took credit,Angry
afraid failing course,Fear
classmate intentionally misrepresented work,Angry
need buy new pen,Neutral
cried hard feel lonely,Sad
professor offered mentorship opportunity,Joy
professor nominated university award,Joy
mathematics olympiad,Joy
study skill inadequate current level,Sad
lost first match sport meet,Sad
completed participatory research,Neutral
research rejected,Fear
classmate questioned dedication,Angry
instructor overlooked achievement,Angry
research interest supported,Sad
thesis defense went exceptionally well,Joy
artwork sold student exhibition,Joy
scared academic mistake,Fear
boyfriend talking another girl,Angry
worried complexity research,Fear
succeed field,Fear
anxious laboratory practical exam,Fear
happy gorup member,Joy
campus look clean today,Neutral
sleepy,Neutral
nervous failing research project,Fear
laughed lot group discussion,Joy
wen medical center,Neutral
could attend wedding,Sad
fear stumble word,Fear
professor changed assignment requirement last minute,Angry
ineligbled exam witohut knowing,Sad
got rejected dream internship program,Sad
group presentation next thursday,Neutral
completed research,Neutral
angry every time batch meeting,Angry
attended research seminar,Neutral
anxious thesis proposal defense,Fear
course workload completely unreasonable,Angry
best friend transferred different university,Sad
got excluded academic delegation,Sad
afraid meeting deadline,Fear
person cunning,Angry
professor criticized entire approach,Sad
received low mark project,Sad
project funding denied,Sad
anxious professor expectation,Fear
biased,Angry
could afford hostel fee,Sad
research direction completely misdirected,Sad
academic mentor introduced expert,Joy
enjoyed photo booth festival,Joy
campus gym open,Neutral
shared success story class,Joy
presentation monday,Fear
cancel trip,Sad
fear embarrassed group work,Fear
hostel water supply stopped day,Sad
research methodology inspiring global transformation,Joy
felt frustrated repeated unfair grading,Angry
professor offered position academic icon,Joy
friend poor,Sad
professor refused research supervision,Sad
afraid disappointing mentor,Fear
got highest grade challenging course,Joy
notice board new update,Neutral
scared failing research project,Fear
research got featured scientific journal,Joy
fun time visiting another faculty,Joy
nervous advisor disapproval,Fear
study tip helpful,Neutral
checked eis,Neutral
reviewed methodological approach,Neutral
handle academic stress,Fear
nervous comprehensive exam,Fear
completed dissertation chapter,Neutral
meet professor high standard,Sad
scared thesis committee meeting,Fear
professor follow posted office hour,Angry
one say love personality,Joy
classmate ridiculed finding,Angry
internship application declined,Sad
angry university listen student voice,Angry
classmate loved presentation,Joy
professor questioned basic competence,Sad
tommorow monday,Neutral
worried clinical rotation performance,Fear
instructor ignored improvement effort,Angry
worried academic conference presentation,Fear
got funding interdisciplinary research project,Joy
got cut possible program,Sad
failed everything,Sad
campus parking enforcement excessive,Angry
friend made day special today,Joy
enjoyed ice cream lecture,Joy
attended academic networking event,Neutral
study approach yielding poor result,Sad
work load much,Angry
startup got investment angel investor,Joy
joyful today,Joy
wi fi slow hostel today,Neutral
completed systematic review,Neutral
cat got died,Sad
worried assignment,Fear
drank lot water,Neutral
lecturer give mark specific student,Angry
got great internship,Joy
sad life,Sad
missed bus morning,Neutral
study method effective,Neutral
professor invited academic immortality,Joy
donot good friend,Sad
got rejected academic conference,Sad
worried project evaluation,Fear
afraid unprepared,Fear
afraid prepared enough,Fear
got rejected everything applied,Sad
fear disappointing family,Fear
lecturer always blaming without valid reason,Angry
got selected exclusive exchange program,Joy
scared meeting expectation,Fear
received job offer graduation,Joy
attended academic meeting,Neutral
system slow outdated,Angry
attended department seminar,Neutral
reviewed ethical guideline,Neutral
balance multiple commitment,Sad
academic skill enabling societal contribution,Joy
afraid disappointing family expectation,Fear
angry expect u everything perfectly,Angry
lecturer always pick favorite,Angry
team member working properly hate,Angry
submitted case study analysis,Neutral
afraid failing major exam,Fear
get accepted study abroad,Sad
groupmates didnot contribute,Angry
attended scholarly forum,Neutral
afraid making presentation mistake,Fear
missed important tutorial class today,Sad
worried mental health declining,Fear
professor offered opportunity,Joy
constantly shift deadline tell u,Angry
classmate took advantage effort,Angry
academic network spanning multiple continent,Joy
professor offered position academic nirvana,Joy
afraid fitting socially,Fear
research finding changing field perspective,Joy
copied full assignment,Angry
canteen long queue,Neutral
happy first class degree,Joy
got rejected academic exchange program,Sad
energetic dance practice,Joy
could pay internet package,Sad
made meaningful connection industry professional,Joy
attended research workshop,Neutral
attended scholarly workshop,Neutral
got bad grade last semester,Sad
lost lab coat,Sad
submitted comparative study,Neutral
ate yummy rice,Joy
worried voice shake,Fear
canot work poor management,Angry
academic mentor nominating honor,Joy
instructor dismissed concern publicly,Angry
sad life,Sad
worried poor recommendation letter,Fear
class start sharp,Neutral
joyful chat senior,Joy
afraid intellectually capable,Fear
felt frustrated lack guidance,Angry
professor invited academic eternity,Joy
furious senior keep harassing junior,Angry
professor nominated national award,Joy
almost done slide,Neutral
match another faculty,Joy
nervous lab experiment result,Fear
worried thesis topic approval,Fear
fear forgetting line,Fear
today supervisor praised work,Joy
completed peer evaluation,Neutral
study hall quiet today,Neutral
wake,Neutral
professor invited academic board,Joy
discovered campus amazing resource,Joy
dean list third semester,Joy
could buy food canteen,Sad
cancel trip,Sad
professor posted new slide online,Neutral
low gpa currently,Sad
worried hard work wonot recognized,Fear
professor offered position among academic legend,Joy
robotics competition,Joy
teamwork really paid time,Joy
sometimes roomates angry reason,Angry
scared making mistake lab,Fear
failure love,Sad
great lecture time,Joy
lecture postponed tommorow,Neutral
innovation showcase,Joy
felt furious unfair deadline,Angry
hate stuck long group discussion go nowhere,Angry
innovation project got venture funding,Joy
low gpa currently,Sad
unlucky everything get fails,Sad
academic integrity process flawed,Angry
research skill applicable industry need,Joy
completed pilot study,Neutral
submitted quiz online,Neutral
glad joined university club,Joy
wen playground,Neutral
nervous performance assessment,Fear
submitted applied research,Neutral
thesis committee impressed progress,Joy
campus wifi constantly,Angry
online learning platform crash frequently,Angry
completed educational research,Neutral
work cooperately,Angry
nervous seminar,Fear
professor hold review session,Neutral
received outstanding student award,Joy
got excluded project team,Sad
projector screen small,Neutral
often face great difficulty,Angry
passed exam,Joy
sure pas exam,Fear
got rejected fellowship application,Sad
enjoyed much fresher night party,Joy
senior keep bullying junior,Angry
hate support mental health,Angry
submit project idea,Angry
projector isnot working class,Neutral
research time,Fear
felt enraged project delay,Angry
got accepted prestigious academic fellowship,Joy
afraid practical time,Fear
exam application called,Neutral
missed everything,Sad
got funding research project,Joy
happy get extra mark test,Joy
pas exam,Joy
timetable say class,Neutral
returned book library,Neutral
afraid ridiculed classmate,Fear
academic journey becoming legendary inspiration,Joy
nervous academic deadline,Fear
nervous lab evaluation,Fear
professor offered position intellectual giant,Joy
afraid public speaking assignment,Fear
lost spectacle lecture,Sad
preparing presentation slide,Neutral
rag,Fear
completed cognitive research,Neutral
got,Joy
anxious professor recommendation,Fear
fear forgetting speech viva,Fear
got excluded university honor,Sad
academic achievement leading opportunity,Joy
worried group member cooperating,Fear
group project got highest mark,Joy
professor assigned reading material,Neutral
mad every one right,Angry
hate long queue cafeteria,Angry
graduate time,Fear
worried wonot remember speech,Fear
feel mad friend,Angry
friend inform closing date project proposal submission,Angry
academic skill making meaningful difference,Joy
attended research conference,Neutral
professor recommended academic award,Joy
nervous crush,Fear
group project successful done,Joy
nervous group project performance,Fear
phone got stolen bus,Sad
got c minus exam okey,Sad
vacation postponed indefinitely,Sad
balance work study,Fear
research finding dismissed irrelevant,Sad
nervous academic probation,Fear
get scholarship desperately needed,Sad
afraid unprepared lab,Fear
feel left batch,Sad
sitting campus garden,Neutral
system crashed submission yesterday,Angry
academic skill transferring professional world,Joy
scared oral exam,Fear
professor wrote excellent recommendation letter,Joy
professor provide study material,Angry
campus construction noise disrupts class,Angry
afraid disappointing research supervisor,Fear
go hostel nap,Neutral
worried department evaluation,Fear
campus dining hall hour changed,Neutral
name sudesh,Neutral
research finding deemed insignificant,Sad
professor questioned research method,Sad
lecturer late lecture,Angry
earned mark rom viva,Joy
going meet first love tommorw happy,Joy
judge,Angry
mad held lecture even poydays,Angry
anxious peer evaluation feedback,Fear
attended research workshop,Neutral
lowes mark project,Sad
afraid academic integrity violation,Fear
keep ignoring,Angry
lecturer late lecture,Angry
scared lab accident,Fear
submitted analytical report,Neutral
scared weakest student class,Fear
group member contribute equally,Sad
angry roommate,Angry
got selected prestigious fellowship,Joy
afraid research rejection,Fear
received gift friend,Joy
scared living,Fear
afraid disappointing professor,Fear
power outage ruined whole assignment,Angry
need complete online module,Neutral
system crashed submission,Angry
academic plan completely derailed,Sad
get medical school,Fear
instructor criticized approach harshly,Angry
hate everyone try pas blame,Angry
happy grade,Joy
anxious group presentation tomorrow,Fear
afraid research rejection,Fear
classmate mocked academic style,Angry
submitted statistical report,Neutral
textbook price absolutely outrageous,Angry
sick group member replying time,Angry
cafeteria full today,Neutral
got excluded department activity,Sad
felt angered failed experiment result,Angry
get popular elective course,Sad
anxious research ethic approval,Fear
tommorrow proposal presentation,Fear
succesfully done presenations,Joy
angry one respect deadline,Angry
sm playing hockey,Neutral
research topic reject,Sad
exam dobi free,Joy
worried mental health declining,Fear
felt disrespected teaching assistant,Angry
need buy textbook chemistry class,Neutral
worried failing multiple subject,Fear
campus activity fair tomorrow,Neutral
paper got published student journal,Joy
attended academic retreat,Neutral
lecturer uploaded file,Neutral
professor extended deadline,Neutral
got accepted exclusive mentorship program,Joy
scared meeting deadline,Fear
professor refused supervise work,Sad
friend lied pissed,Angry
explained hundred time get frustrating,Angry
people bodyshame,Angry
afraid making wrong decision,Fear
missed train go back home,Sad
senior aggressive towards u,Angry
worried research funding,Fear
furious stay late every day,Angry
professor said work inspires others,Joy
felt one,Sad
scared fieldwork assignment,Fear
got lot gift friend today,Joy
going library study,Neutral
felt enraged lab mistake beyond control,Angry
joyful dinner batchmates,Joy
lab locked,Angry
afford required textbook,Sad
afraid academically behind,Fear
worried missing course prerequisite,Fear
research methodology criticized inadequate,Sad
exam format nothing like promised,Angry
one repeat subject,Sad
scared academically weak,Fear
lost everything except life,Sad
felt furious unfair evaluation,Angry
got selected final match,Joy
relaxing time finishing work,Joy
lost seat shuttle bus,Sad
prepared upcoming exam,Neutral
enjoyed trip nuwaraeliya,Joy
lecturer disappointed performance,Sad
academic progress slower expected,Sad
enjoyed snack class ended,Joy
could submit internship report,Sad
admin staff rude unhelpful,Angry
professor offered position new research center,Joy
professor said work good enough,Sad
missed important deadline application,Sad
academic conference rejected abstract,Sad
scared future career prospect,Fear
got cut departmental recognition,Sad
felt furious repeated rejection,Angry
professor expressed serious concern publicly,Sad
hate,Angry
professor said writing need major improvement,Sad
scared research error,Fear
finish project face exam successfully,Fear
never listen,Angry
professor invited academic hall fame,Joy
got accepted leadership program,Joy
missed family badly,Sad
lecturer always end class early waste time,Angry
hate raggers annoying,Angry
low gpa upto,Sad
got invitation shape future education,Joy
completed organizational study,Neutral
one care project,Angry
worried losing funding,Fear
afraid left program,Fear
group work impossible one care,Angry
professor give subjective grade objective test,Angry
lecture today,Neutral
research methodology setting new standard,Joy
reviewed research significance,Neutral
made dean list semester,Joy
professor disappointed research quality,Sad
internship coordinator incompetent,Angry
academic network driving positive change,Joy
need print assignment class,Neutral
submitted critical analysis,Neutral
mentor offered great career advice,Joy
attended graduate seminar,Neutral
nervous meeting supervisor,Fear
professor recommended distinguished chair,Joy
got rejected academic workshop,Sad
research collaboration yielding exciting result,Joy
professor criticized every aspect harshly,Sad
professor prepare lecture,Angry
got irritated exam scoring error,Angry
received student excellence scholarship,Joy
group leader dictator,Angry
handle academic stress,Fear
attended scholarly forum,Neutral
campus debate competition,Joy
professor cancelled office hour without warning,Angry
class got cancelled due weather,Neutral
scared speaking front class,Fear
angry every time batch meeting,Angry
scared mess viva,Fear
hate senior always bos u around,Angry
completed collaborative project,Neutral
anxious grading system,Fear
attended academic panel,Neutral
hungry food yummy,Angry
attended research colloquium,Neutral
professor refused thesis direction,Sad
one senior scolded u,Sad
professor questioned theoretical understanding,Sad
got upset project denial,Angry
laptop got stolen,Sad
qualify advanced placement,Sad
afraid making mistake research,Fear
lm working properly,Neutral
annoyed right,Angry
submit assignmnets time,Sad
completed observational study,Neutral
attended ethic workshop,Neutral
afraid academic competition,Fear
perfect score midterm,Joy
anxious dissertation proposal,Fear
startup idea pitch contest,Joy
research collaboration achieving impossible dream,Joy
study abroad application got approved,Joy
reviewed feedback assignment,Neutral
worried failing internship,Fear
research collaboration addressing global challenge,Joy
missed first lecture semester,Sad
reviewed empirical evidence,Neutral
received university merit award,Joy
scared miss important detail,Fear
got accepted exclusive academic fellowship,Joy
instructor criticized writing harshly,Angry
working research project,Neutral
event start lunch,Neutral
couldnot meet deadline upset,Sad
understand complex theory,Fear
cheerful talk lecturer,Joy
got rejected academic collaboration,Sad
result low,Sad
professor invited establish research center,Joy
felt left group,Sad
classmate undermined effort repeatedly,Angry
make wrong academic decision,Fear
lecture morning,Neutral
got accepted study abroad program,Joy
afraid advisor disappointment,Fear
got rejected competitive program,Sad
get honor program,Sad
professor expressed disappointment openly,Angry
got rejected competitive scholarship,Sad
scared failing viva,Fear
instructor criticized methodology,Angry
assignment instruction clear,Neutral
attendace compulsory hate rule,Angry
worried bad day,Fear
got passed difficult subject,Joy
anxious comprehensive portfolio review,Fear
make friend new dorm,Sad
anxious professor recommendation,Fear
power cut study period time,Angry
got good result exam,Joy
academic future completely uncertain,Sad
could pay extra class,Sad
professor refuse clarify assignment requirement,Angry
attended research symposium,Neutral
live poson mawatha,Neutral
hate expect u life outside study,Angry
research methodology gaining recognition,Joy
noisy classroom disturbed,Angry
scared assignment rejection,Fear
got funding research transforming existence,Joy
completed prescriptive study,Neutral
bright happy start day,Joy
anxious public speaking anxiety,Fear
weekend revision started,Neutral
completed exploratory research,Neutral
think feeling sad tody,Sad
anxious losing motivation,Fear
got invitation present research finding,Joy
walk heavy rain,Sad
scared graduate school interview,Fear
got rejected research fellowship,Sad
afraid disappointing research supervisor,Fear
finally finished thesis defense,Joy
group leader rude,Angry
campus crowded today,Neutral
instructor criticized entire approach,Angry
research finding contradicted others,Sad
completed required reading,Neutral
got wet campus cricket match,Sad
attended academic symposium,Neutral
classmate sabotaged research presentation,Angry
work load high,Angry
laptop crashed,Sad
sad see,Sad
professor rejected research proposal,Sad
aced midterm exam studied hard,Joy
